Код;Направление подготовки (специальности);Всего;Общий конкурс;Особая квота;Целевая квота;Специальная квота;По договорам об оказании платных образовательных услуг;Форма обучения;Стоимость обучения
05.03.06;Экология и природопользование. Профиль "Экология";21;10;2;2;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
06.03.01;Биология. Профиль  "Биоразнообразие";34;22;3;1;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
35.03.04;Агрономия. Профиль "Биотехнологии в растениеводстве";15;6;1;2;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
35.03.08;Водные ресурсы и аквакультура. Профиль "Аквакультура";20;9;2;2;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
36.03.02;Зоотехния. Профиль "Разведение, селекция, воспроизводство и использование животных";20;9;2;2;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Биология и Химия)";15;5;1;3;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Английский язык и Немецкий язык)";30;10;2;6;2;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Английский язык и Французский язык)";30;10;2;6;2;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Немецкий язык и Английский язык)";30;10;2;6;2;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.02;Лингвистика. Профиль "Перевод и переводоведение";25;0;0;0;0;25;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
39.03.01;Социология. Профиль "Социология";18;9;2;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
39.03.02;Социальная работа. Профиль "Социальное обслуживание населения";19;9;2;1;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
41.03.05;Международные отношения. Профиль "Международные отношения";22;8;2;5;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование(с двумя профилями). Профиль "Образование в предметных областях (История и обществознание)";25;10;2;6;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
46.03.01;История.Профиль "Историко-культурный туризм";24;11;2;4;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
46.03.01;История.Профиль "История стран Северной Европы";24;11;2;4;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
05.03.01;Геология. Профиль "Геология";18;9;2;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
08.03.01;Строительство. Профиль "Промышленное и гражданское строительство", Профиль "Строительство автомобильных дорог", Профиль "Жилищно-коммунальное хозяйство и инженерное обеспечение промышленных предприятий";91;59;9;9;9;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
15.03.02;Технологические машины и оборудование. Профиль "Инжиниринг и маркетинг технологических машин и оборудования";20;9;2;2;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
15.03.06;Мехатроника и робототехника. Профиль "Мехатронные и робототехнические системы в машиностроении";10;2;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
21.05.04;Горное дело. Профиль "Открытые горные работы";30;16;3;3;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
35.03.01;Лесное дело. Профиль "Рациональное многоцелевое использование лесов", Профиль "Правовые основы лесоуправления";21;10;2;2;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
35.03.02;Технология лесозаготовительных и деревоперерабатывающих производств. Профиль "Экономико-правовое обеспечение деятельности лесопромышленного предприятия", Профиль "Технология деревянного домостроения, мебельного производства и деревопереработки";22;11;2;2;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
35.03.06;Агроинженерия. Профиль "Эксплуатация и технический сервис транспортно-технологических машин";22;9;2;4;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
35.03.10;Ландшафтная архитектура. Профиль "Ландшафтное проектирование и дизайн";20;9;2;2;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (География и Английский язык)";20;6;2;5;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
01.03.01;Математика. Профиль "Математика в образовании, фундаментальных и прикладных исследованиях";26;10;2;2;2;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
01.03.02;Прикладная математика  и информатика. Профиль "Прикладная математика и информационно-коммуникационные технологии";74;45;7;6;6;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.02;Информационные системы и технологии. Профиль " Информационные системы и технологии искусственного интеллекта";48;24;4;6;4;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.04;Программная инженерия. Профиль "Системное и прикладное программное обеспечение";30;14;2;2;2;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование(с двумя профилями подготовки). Профиль "Образование в предметных областях (Математика и Информатика)";20;6;2;5;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
37.03.01;Психология. Профиль "Психология";10;0;0;0;0;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
37.05.02;Психология служебной деятельности. Профиль "Психология менеджмента и организационное консультирование";21;7;2;1;1;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.01;Педагогическое образование. Профиль "Начальное образование";30;10;2;6;2;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.02;Психолого-педагогическое образование. Профиль "Дошкольное образование";22;8;2;5;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.02;Психолого-педагогическое образование. Профиль "Психология образования";22;8;2;5;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.03;Специальное (дефектологическое) образование. Профиль "Дошкольная дефектология";25;10;2;6;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Начальное образование и образование в предметной области Английский язык";25;10;2;6;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Технологическое образование и дополнительное образование ";24;9;2;6;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Художественное образование в области изобразительного искусства и  культурологическое образование";23;9;2;5;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
54.03.01;Дизайн. Профиль "Графический дизайн";15;0;0;0;0;15;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
43.03.02;Туризм. Профиль "Проектирование и технология организации туристских и экскурсионных услуг";20;7;1;1;1;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
43.03.03;Гостиничное дело. Профиль "Гостиничный сервис";20;10;2;1;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.01;Педагогическое образование. Профиль "Образование в предметной области Физическая культура";35;11;3;8;3;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Безопасность жизнедеятельности и Физическая культура)";25;6;2;5;2;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья. Профиль "Физическая культура, адаптивная физическая культура и адаптивный спорт";26;14;3;2;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
42.03.02;Журналистика. Профиль "Средства массовой информации";19;9;2;1;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Русский язык и Литература)";25;10;2;6;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Английский язык и литература, немецкий язык";13;5;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Классическая филология";13;5;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Прикладная филология (Русский язык и литература)";13;5;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Финский язык и литература";13;5;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Финский язык и литература, вепсский язык";8;0;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Финский язык и литература, карельский язык (ливвиковское наречие)";11;3;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Шведский язык и литература, английский язык";13;5;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.02;Лингвистика. Профиль "Русский язык как иностранный, китайский язык";15;0;0;0;0;15;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
38.03.01;Экономика. Профиль "Финансы, кредит и бухгалтерский учет";33;11;2;3;2;15;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
38.03.02;Менеджмент. Профиль "Финансовый менеджмент";33;13;2;1;2;15;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
40.03.01;Юриспруденция. Профиль "Юриспруденция";32;7;2;2;1;20;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
31.05.01;Лечебное дело. Профиль "Лечебное дело";184;7;14;100;13;50;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
31.05.02;Педиатрия. Профиль "Педиатрия";67;2;6;43;6;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
33.05.01;Фармация. Профиль "Фармация";25;10;2;2;1;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
03.03.02;Физика. Профиль "Медицинская физика";30;18;3;1;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.01;Информатика и вычислительная техника. Профиль "Проектирование информационных систем в экономике";33;18;3;4;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.01;Информатика и вычислительная техника. Профиль "Системы обработки информации и управления";34;19;3;4;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
11.03.04;Электроника и наноэлектроника. Профиль "Структура и свойства материалов электроники и наноэлектроники";35;21;3;3;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
12.03.01;Приборостроение. Профиль "Информационно-измерительные приборы;20;8;2;3;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
13.03.01;Теплоэнергетика и теплотехника. Профиль "Промышленная теплоэнергетика";22;10;2;3;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
13.03.02;Электроэнергетика и электротехника. Профиль "Электроснабжение", Профиль "Релейная защита и автоматика";46;21;4;7;4;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Физика и Информатика)";15;5;1;3;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
08.03.01;Строительство. Профиль "Промышленное и гражданское строительство", Профиль "Строительство автомобильных дорог", Профиль "Жилищно-коммунальное хозяйство и инженерное обеспечение промышленных предприятий";50;0;0;0;0;50;очно-заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
38.03.03;Управление персоналом. Профиль "Управление персоналом";20;0;0;0;0;20;очно-заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
38.03.04;Государственное и муниципальное управление. Профиль "Государственное и муниципальное управление";15;0;0;0;0;15;очно-заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
40.03.01;Юриспруденция. Профиль "Юриспруденция";15;0;0;0;0;15;очно-заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
21.03.02;Землеустройство и кадастры. Профиль "Землеустройство";10;0;0;0;0;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
35.03.08;Водные ресурсы и аквакультура. Профиль "Аквакультура";10;0;0;0;0;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
15.03.02;Технологические машины и оборудование. Профиль "Инжиниринг и маркетинг технологических машин и оборудования";25;0;0;0;0;25;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
21.05.04;Горное дело. Профиль "Открытые горные работы";25;0;0;0;0;25;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
23.03.03;Эксплуатация транспортно-технологических машин и комплексов. Профиль "Эксплуатация транспортно-технологических машин и комплексов";25;0;0;0;0;25;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.02;Информационные системы и технологии. Профиль "Разработка информационных систем";25;0;0;0;0;25;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.01;Педагогическое образование. Профиль "Начальное образование";22;4;2;4;2;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.02;Психолого-педагогическое образование. Профиль "Дошкольное образование";15;5;1;3;1;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.02;Психолого-педагогическое образование. Профиль "Психология и социальная педагогика";15;6;1;2;1;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.02;Психолого-педагогическое образование. Профиль "Психология образования";20;6;2;5;2;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.03;Специальное (дефектологическое) образование. Профиль "Дошкольная дефектология";20;5;1;3;1;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
20.03.01;Техносферная безопасность. Профиль "Безопасность труда";20;0;0;0;0;20;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
43.03.02;Туризм. Профиль "Проектирование и технология организации туристских и экскурсионных услуг";20;9;2;2;2;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
43.03.03;Гостиничное дело. Профиль "Ресторанный сервис";20;10;2;1;2;5;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
44.03.05;Педагогическое образование (с двумя профилями подготовки). Профиль "Образование в предметных областях (Безопасность жизнедеятельности и Физическая культура)";28;9;2;5;2;10;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.01;Информатика и вычислительная техника. Профиль "Системы обработки информации и управления";20;0;0;0;0;20;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
13.03.01;Теплоэнергетика и теплотехника. Профиль "Промышленная теплоэнергетика";20;0;0;0;0;20;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
13.03.02;Электроэнергетика и электротехника. Профиль "Электроснабжение";20;0;0;0;0;20;заочная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
